LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
PACIFIC_WARM_POOL,!Y_1996,2,0.07057522982358933,0.07088764011859894,0.07073143497109413,0.07073143497109413,!YEAR,17,0.08159254869336591,,1996
PACIFIC_WARM_POOL,!Y_1997,10,0.06487466394901276,0.08843469619750977,0.07246014848351479,0.07338356226682663,!YEAR,17,0.08159254869336591,-0.008208986426539278,1997
PACIFIC_WARM_POOL,!Y_1998,12,0.07052347064018250,0.1091238036751747,0.08716702833771706,0.08853527344763279,!YEAR,17,0.08159254869336591,0.006942724754266882,1998
PACIFIC_WARM_POOL,!Y_1999,12,0.07304148375988007,0.1046960502862930,0.08461858332157135,0.08656655624508858,!YEAR,17,0.08159254869336591,0.004974007551722670,1999
PACIFIC_WARM_POOL,!Y_2000,12,0.06355166435241699,0.1015206500887871,0.08299009501934052,0.08397856230537097,!YEAR,17,0.08159254869336591,0.002386013612005064,2000
PACIFIC_WARM_POOL,!Y_2001,12,0.06090717390179634,0.1006199568510056,0.07328437268733978,0.07707737231006225,!YEAR,17,0.08159254869336591,-0.004515176383303662,2001
PACIFIC_WARM_POOL,!Y_2002,12,0.06407782435417175,0.08193466812372208,0.07138611376285553,0.07180880010128021,!YEAR,17,0.08159254869336591,-0.009783748592085695,2002
PACIFIC_WARM_POOL,!Y_2003,12,0.07153725624084473,0.08859742432832718,0.07798610627651215,0.07891302307446797,!YEAR,17,0.08159254869336591,-0.002679525618897935,2003
PACIFIC_WARM_POOL,!Y_2004,12,0.05887336283922195,0.09689544141292572,0.07502937316894531,0.07574514703204234,!YEAR,17,0.08159254869336591,-0.005847401661323567,2004
PACIFIC_WARM_POOL,!Y_2005,12,0.07385203242301941,0.09226831793785095,0.08180182054638863,0.08223304028312366,!YEAR,17,0.08159254869336591,0.0006404915897577496,2005
PACIFIC_WARM_POOL,!Y_2006,12,0.05644424632191658,0.1093307435512543,0.07317754626274109,0.07750613956401746,!YEAR,17,0.08159254869336591,-0.004086409129348448,2006
PACIFIC_WARM_POOL,!Y_2007,12,0.07133806496858597,0.08615030348300934,0.07746280729770660,0.07910324633121491,!YEAR,17,0.08159254869336591,-0.002489302362151002,2007
PACIFIC_WARM_POOL,!Y_2008,12,0.08185469359159470,0.09833484888076782,0.09086949378252029,0.09066683799028397,!YEAR,17,0.08159254869336591,0.009074289296918059,2008
PACIFIC_WARM_POOL,!Y_2009,12,0.05553918331861496,0.1078713387250900,0.07067925482988358,0.07775235082954168,!YEAR,17,0.08159254869336591,-0.003840197863824224,2009
PACIFIC_WARM_POOL,!Y_2010,12,0.07210230082273483,0.1038036569952965,0.09143515676259995,0.09143773838877678,!YEAR,17,0.08159254869336591,0.009845189695410872,2010
PACIFIC_WARM_POOL,!Y_2011,12,0.08115808665752411,0.09942132234573364,0.08776799961924553,0.08821153019865353,!YEAR,17,0.08159254869336591,0.006618981505287627,2011
PACIFIC_WARM_POOL,!Y_2012,12,0.05865463614463806,0.1141725927591324,0.08614927902817726,0.08420676148186128,!YEAR,17,0.08159254869336591,0.002614212788495371,2012
PACIFIC_WARM_POOL,!Y_2013,6,0.06938395649194717,0.08574657142162323,0.08185192570090294,0.07994738593697548,!YEAR,17,0.08159254869336591,-0.001645162756390428,2013
