LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
WEST_BERING_SEA,!Y_1997,8,0.2261761426925659,1.421721220016480,0.7603967934846878,0.7963276617228985,!YEAR,17,0.7280228544564490,0.06830480726644950,1997
WEST_BERING_SEA,!Y_1998,11,0.3276801705360413,2.055026769638062,0.8362247943878174,0.9756110798228871,!YEAR,17,0.7280228544564490,0.2475882253664381,1998
WEST_BERING_SEA,!Y_1999,11,0.3199794590473175,1.931099057197571,0.6752378344535828,0.7846286838704889,!YEAR,17,0.7280228544564490,0.05660582941403991,1999
WEST_BERING_SEA,!Y_2000,11,0.2918495535850525,1.716575384140015,0.7798189520835877,0.7353690564632416,!YEAR,17,0.7280228544564490,0.007346202006792590,2000
WEST_BERING_SEA,!Y_2001,11,0.2860347330570221,2.795266389846802,0.6971610784530640,0.9028066342527216,!YEAR,17,0.7280228544564490,0.1747837797962726,2001
WEST_BERING_SEA,!Y_2002,11,0.2674694061279297,1.303144454956055,0.5766459703445435,0.6820382177829742,!YEAR,17,0.7280228544564490,-0.04598463667347474,2002
WEST_BERING_SEA,!Y_2003,11,0.2314482331275940,1.410298585891724,0.5466155409812927,0.6428517915985801,!YEAR,17,0.7280228544564490,-0.08517106285786891,2003
WEST_BERING_SEA,!Y_2004,11,0.2182404845952988,1.464116454124451,0.6739760637283325,0.6737974597649141,!YEAR,17,0.7280228544564490,-0.05422539469153487,2004
WEST_BERING_SEA,!Y_2005,11,0.2458871901035309,1.200849056243897,0.6076986193656921,0.6089998835867102,!YEAR,17,0.7280228544564490,-0.1190229708697388,2005
WEST_BERING_SEA,!Y_2006,11,0.2494333535432816,1.386512637138367,0.6497748494148254,0.6924412182786248,!YEAR,17,0.7280228544564490,-0.03558163617782417,2006
WEST_BERING_SEA,!Y_2007,11,0.2699086070060730,1.441312551498413,0.5924412608146668,0.6237112554636869,!YEAR,17,0.7280228544564490,-0.1043115989927621,2007
WEST_BERING_SEA,!Y_2008,11,0.2606622278690338,1.687114953994751,0.6719915270805359,0.7707360603592612,!YEAR,17,0.7280228544564490,0.04271320590281225,2008
WEST_BERING_SEA,!Y_2009,11,0.2161867171525955,1.776700139045715,0.5726160407066345,0.6787168478423898,!YEAR,17,0.7280228544564490,-0.04930600661405915,2009
WEST_BERING_SEA,!Y_2010,11,0.2521308362483978,1.590284705162048,0.6159552931785584,0.6884290332143958,!YEAR,17,0.7280228544564490,-0.03959382124205324,2010
WEST_BERING_SEA,!Y_2011,11,0.2282560914754868,1.187780976295471,0.6743443012237549,0.6254813684658571,!YEAR,17,0.7280228544564490,-0.1025414859905919,2011
WEST_BERING_SEA,!Y_2012,11,0.2114763557910919,2.061253547668457,0.7294314503669739,0.7700048427690159,!YEAR,17,0.7280228544564490,0.04198198831256694,2012
WEST_BERING_SEA,!Y_2013,6,0.2705433070659638,1.552569746971130,0.3826559633016586,0.7244374305009842,!YEAR,17,0.7280228544564490,-0.003585423955464795,2013
