LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
NEW_ZEALAND_SHELF,!Y_1996,2,0.3038232028484345,0.3377664685249329,0.3207948356866837,0.3207948356866837,!YEAR,17,0.4219883623952959,,1996
NEW_ZEALAND_SHELF,!Y_1997,10,0.2770944833755493,0.4962942600250244,0.3145600110292435,0.3630088031291961,!YEAR,17,0.4219883623952959,-0.05897955926609977,1997
NEW_ZEALAND_SHELF,!Y_1998,12,0.3461709320545197,0.4772430658340454,0.3945284783840179,0.3933606520295143,!YEAR,17,0.4219883623952959,-0.02862771036578160,1998
NEW_ZEALAND_SHELF,!Y_1999,12,0.2625810801982880,0.4984953999519348,0.3267528712749481,0.3393420130014420,!YEAR,17,0.4219883623952959,-0.08264634939385396,1999
NEW_ZEALAND_SHELF,!Y_2000,12,0.2615922689437866,0.5603576898574829,0.3556960374116898,0.3844151645898819,!YEAR,17,0.4219883623952959,-0.03757319780541402,2000
NEW_ZEALAND_SHELF,!Y_2001,12,0.2891989648342133,0.5216383337974548,0.3480261117219925,0.3682027136286100,!YEAR,17,0.4219883623952959,-0.05378564876668596,2001
NEW_ZEALAND_SHELF,!Y_2002,12,0.2677997648715973,0.6586043238639832,0.3431641310453415,0.4094096546371778,!YEAR,17,0.4219883623952959,-0.01257870775811815,2002
NEW_ZEALAND_SHELF,!Y_2003,12,0.3528059422969818,0.6227833032608032,0.4238635003566742,0.4512181729078293,!YEAR,17,0.4219883623952959,0.02922981051253337,2003
NEW_ZEALAND_SHELF,!Y_2004,12,0.3902384340763092,0.5932348370552063,0.4769957959651947,0.4744372020165126,!YEAR,17,0.4219883623952959,0.05244883962121666,2004
NEW_ZEALAND_SHELF,!Y_2005,12,0.3718511462211609,0.5503119826316834,0.4308585673570633,0.4473284805814425,!YEAR,17,0.4219883623952959,0.02534011818614662,2005
NEW_ZEALAND_SHELF,!Y_2006,12,0.3928864598274231,0.6016506552696228,0.4435760080814362,0.4786207328240077,!YEAR,17,0.4219883623952959,0.05663237042871178,2006
NEW_ZEALAND_SHELF,!Y_2007,12,0.3719518184661865,0.6028110980987549,0.4453554153442383,0.4609688669443131,!YEAR,17,0.4219883623952959,0.03898050454901714,2007
NEW_ZEALAND_SHELF,!Y_2008,12,0.3548658490180969,0.6024578213691711,0.3974737524986267,0.4483315994342168,!YEAR,17,0.4219883623952959,0.02634323703892089,2008
NEW_ZEALAND_SHELF,!Y_2009,12,0.3756669461727142,0.5943712592124939,0.4376864731311798,0.4666144624352455,!YEAR,17,0.4219883623952959,0.04462610003994960,2009
NEW_ZEALAND_SHELF,!Y_2010,12,0.4016086161136627,0.6585061550140381,0.4655663818120956,0.4768425300717354,!YEAR,17,0.4219883623952959,0.05485416767643947,2010
NEW_ZEALAND_SHELF,!Y_2011,12,0.3879073560237885,0.5137700438499451,0.4325050413608551,0.4353565946221352,!YEAR,17,0.4219883623952959,0.01336823222683925,2011
NEW_ZEALAND_SHELF,!Y_2012,12,0.3362395465373993,0.5305377244949341,0.3937510102987289,0.4004984498023987,!YEAR,17,0.4219883623952959,-0.02148991259289723,2012
NEW_ZEALAND_SHELF,!Y_2013,6,0.3344163298606873,0.4402656257152557,0.3710283339023590,0.3758460680643718,!YEAR,17,0.4219883623952959,-0.04614229433092415,2013
